timestamp,amplitude,frequency
1746751877.340,0.306,341.976
1746751877.342,0.306,341.977
1746751877.343,0.306,341.978
1746751877.345,0.306,341.980
1746751877.346,0.306,341.981
1746751877.347,0.306,341.983
1746751877.349,0.306,341.984
1746751877.351,0.306,341.986
1746751877.352,0.306,341.987
1746751877.354,0.306,341.989
1746751877.355,0.305,341.990
1746751877.357,0.305,341.992
1746751877.358,0.305,341.993
1746751877.360,0.305,341.995
1746751877.361,0.305,341.996
1746751877.363,0.305,341.998
1746751877.364,0.305,341.999
1746751877.366,0.305,342.001
1746751877.367,0.305,342.002
1746751877.369,0.305,342.004
1746751877.370,0.305,342.005
1746751877.372,0.305,342.007
1746751877.373,0.305,342.008
1746751877.374,0.305,342.009
1746751877.376,0.304,342.011
1746751877.377,0.304,342.012
1746751877.379,0.304,342.014
1746751877.380,0.304,342.015
1746751877.382,0.304,342.017
1746751877.383,0.304,342.018
1746751877.385,0.304,342.020
1746751877.386,0.304,342.021
1746751877.391,0.304,342.026
1746751877.393,0.304,342.028
1746751877.394,0.304,342.029
1746751877.396,0.304,342.031
1746751877.398,0.303,342.033
1746751877.401,0.303,342.036
1746751877.403,0.303,342.038
1746751877.404,0.303,342.039
1746751877.406,0.303,342.041
1746751877.407,0.303,342.042
1746751877.409,0.303,342.044
1746751877.412,0.303,342.047
1746751877.416,0.303,342.051
1746751877.419,0.303,342.054
1746751877.422,0.302,342.058
1746751877.426,0.302,342.061
1746751877.428,0.302,342.064
1746751877.431,0.302,342.066
1746751877.433,0.302,342.068
1746751877.436,0.302,342.071
1746751877.438,0.302,342.073
1746751877.441,0.301,342.076
1746751877.444,0.301,342.079
1746751877.446,0.301,342.081
1746751877.449,0.301,342.084
1746751877.457,0.301,342.093
1746751877.459,0.301,342.095
1746751877.462,0.301,342.098
1746751877.464,0.300,342.100
1746751877.466,0.300,342.101
1746751877.467,0.300,342.103
1746751877.469,0.300,342.105
1746751877.470,0.300,342.106
1746751877.472,0.300,342.108
1746751877.474,0.300,342.110
1746751877.476,0.300,342.112
1746751877.479,0.300,342.115
1746751877.482,0.300,342.118
1746751877.484,0.300,342.120
1746751877.486,0.299,342.122
1746751877.488,0.299,342.124
1746751877.490,0.299,342.127
1746751877.492,0.299,342.128
1746751877.493,0.299,342.130
1746751877.497,0.299,342.133
1746751877.498,0.299,342.135
1746751877.501,0.299,342.137
1746751877.503,0.299,342.140
1746751877.506,0.299,342.143
1746751877.509,0.298,342.146
1746751877.512,0.298,342.149
1746751877.514,0.298,342.151
1746751877.515,0.298,342.152
1746751877.517,0.298,342.154
1746751877.522,0.298,342.159
1746751877.523,0.298,342.161
1746751877.525,0.298,342.162
1746751877.526,0.298,342.164
1746751877.528,0.297,342.166
1746751877.530,0.297,342.167
1746751877.532,0.297,342.170
1746751877.534,0.297,342.172
1746751877.536,0.297,342.174
1746751877.537,0.297,342.175
1746751877.539,0.297,342.177
1746751877.540,0.297,342.178
1746751877.542,0.297,342.180
1746751877.544,0.297,342.182
1746751877.547,0.297,342.185
1746751877.549,0.297,342.187
1746751877.550,0.296,342.189
1746751877.552,0.296,342.190
1746751877.554,0.296,342.192
1746751877.555,0.296,342.194
1746751877.557,0.296,342.195
1746751877.558,0.296,342.197
1746751877.559,0.296,342.198
1746751877.561,0.296,342.200
1746751877.563,0.296,342.202
1746751877.564,0.296,342.203
1746751877.566,0.296,342.205
1746751877.567,0.296,342.206
1746751877.569,0.296,342.208
1746751877.570,0.296,342.209
1746751877.572,0.296,342.211
1746751877.573,0.295,342.213
1746751877.575,0.295,342.214
1746751877.577,0.295,342.216
1746751877.579,0.295,342.219
1746751877.581,0.295,342.221
1746751877.582,0.295,342.222
1746751877.584,0.295,342.224
1746751877.585,0.295,342.225
1746751877.587,0.295,342.227
1746751877.588,0.295,342.228
1746751877.590,0.295,342.230
1746751877.591,0.295,342.232
1746751877.593,0.295,342.233
1746751877.594,0.294,342.235
1746751877.596,0.294,342.236
1746751877.597,0.294,342.238
1746751877.599,0.294,342.239
1746751877.600,0.294,342.241
1746751877.602,0.294,342.242
1746751877.605,0.294,342.245
1746751877.607,0.294,342.248
1746751877.609,0.294,342.250
1746751877.610,0.294,342.251
1746751877.612,0.294,342.253
1746751877.613,0.294,342.255
1746751877.616,0.294,342.257
1746751877.617,0.293,342.259
1746751877.619,0.293,342.260
1746751877.620,0.293,342.262
1746751877.622,0.293,342.263
1746751877.623,0.293,342.265
1746751877.625,0.293,342.267
1746751877.626,0.293,342.268
1746751877.628,0.293,342.270
1746751877.632,0.293,342.274
1746751877.637,0.293,342.279
1746751877.640,0.292,342.283
1746751877.642,0.292,342.285
1746751877.643,0.292,342.286
1746751877.646,0.292,342.290
1746751877.649,0.292,342.292
1746751877.651,0.292,342.295
1746751877.653,0.292,342.297
1746751877.655,0.292,342.299
1746751877.657,0.292,342.301
1746751877.658,0.292,342.303
1746751877.661,0.291,342.305
1746751877.663,0.291,342.308
1746751877.665,0.291,342.309
1746751877.667,0.291,342.312
1746751877.669,0.291,342.314
1746751877.671,0.291,342.316
1746751877.672,0.291,342.318
1746751877.674,0.291,342.319
1746751877.676,0.291,342.321
1746751877.677,0.291,342.322
1746751877.679,0.291,342.324
1746751877.680,0.291,342.326
1746751877.682,0.290,342.327
1746751877.683,0.290,342.329
1746751877.685,0.290,342.331
1746751877.686,0.290,342.332
1746751877.688,0.290,342.334
1746751877.689,0.290,342.335
1746751877.691,0.290,342.337
1746751877.692,0.290,342.338
1746751877.693,0.290,342.340
1746751877.695,0.290,342.342
1746751877.696,0.290,342.343
1746751877.699,0.290,342.346
1746751877.700,0.290,342.347
1746751877.701,0.290,342.349
1746751877.703,0.290,342.350
1746751877.704,0.289,342.352
1746751877.706,0.289,342.353
1746751877.707,0.289,342.355
1746751877.709,0.289,342.357
1746751877.710,0.289,342.358
1746751877.712,0.289,342.360
1746751877.714,0.289,342.362
1746751877.715,0.289,342.363
1746751877.717,0.289,342.365
1746751877.718,0.289,342.367
1746751877.720,0.289,342.368
1746751877.721,0.289,342.370
1746751877.723,0.289,342.371
1746751877.724,0.289,342.373
1746751877.726,0.289,342.375
1746751877.727,0.288,342.376
1746751877.729,0.288,342.378
1746751877.730,0.288,342.380
1746751877.732,0.288,342.381
1746751877.733,0.288,342.383
1746751877.735,0.288,342.384
1746751877.736,0.288,342.386
1746751877.738,0.288,342.388
1746751877.739,0.288,342.389
1746751877.741,0.288,342.391
